# Model Metadata
# n_ctx: 131072
# n_predict: 20
# model_size_bytes: 799862912
# n_params: 1235814432
phase,token_index,tensor_name,op_type,time_ns,size_bytes,n_elements,papi_tot_cyc,papi_tot_ins,papi_l3_tcm,papi_l1_dcm
prefill,0,Kcur-8,MUL_MAT,31778,4096,1024,118305,246147,1793,3442
prefill,0,Kcur-8 (reshaped),RESHAPE,3863,4096,1024,1803,2686,0,114
prefill,0,Kcur-8,ROPE,6282,4096,1024,11387,12257,3,223
prefill,0,Kcur-8 (view),VIEW,3864,4096,1024,1903,2702,0,46
prefill,0,cache_k_l8 (view),SET_ROWS,4380,134217728,67108864,3953,3434,41,115
prefill,0,Vcur-8 (view),VIEW,3936,4096,1024,1668,2502,0,28
prefill,0,cache_v_l8 (view),SET_ROWS,4261,134217728,67108864,3603,3568,46,150
prefill,0,Qcur-8 (view),VIEW,3751,16384,4096,1513,2734,6,22
prefill,0,Qcur-8 (view) (permuted),PERMUTE,3941,16384,4096,1506,2725,4,25
prefill,0,cache_k_l8 (view),VIEW,3786,262144,131072,1604,2691,1,19
prefill,0,cache_k_l8 (view) (permuted),PERMUTE,3751,262144,131072,1523,2692,0,16
prefill,0,cache_v_l8 (view),VIEW,3813,262144,131072,1676,2855,0,23
prefill,0,cache_v_l8 (view) (permuted),PERMUTE,3755,262144,131072,1559,2773,0,20
prefill,0,__fattn__-8,FLASH_ATTN_EXT,21952,16384,4096,76123,139285,75,1365
prefill,0,kqv_out-8,RESHAPE,3855,16384,4096,1805,2691,0,104
prefill,0,attn_out-8,MUL_MAT,93569,16384,4096,377068,865586,6801,19224
prefill,0,ffn_inp-8,ADD,6571,16384,4096,11510,9334,5,547
prefill,0,norm-8,RMS_NORM,8575,16384,4096,19050,22327,3,351
prefill,0,ffn_norm-8,MUL,6883,16384,4096,12633,9235,50,371
prefill,0,ffn_gate-8,MUL_MAT,372556,65536,16384,1521959,3339360,28063,74871
prefill,0,ffn_up-8,MUL_MAT,362697,65536,16384,1472234,3339050,28001,75020
prefill,0,ffn_swiglu-8,GLU,16181,65536,16384,51220,22086,117,1878
prefill,0,ffn_out-8,MUL_MAT,437951,16384,4096,1859079,3853815,46400,116539
prefill,0,l_out-8,ADD,7219,16384,4096,12716,9291,20,539
prefill,0,norm-9,RMS_NORM,7975,16384,4096,18692,22331,13,354
prefill,0,attn_norm-9,MUL,6602,16384,4096,12938,9302,19,372
prefill,0,Qcur-9,MUL_MAT,102073,16384,4096,412677,865472,7057,19206
prefill,0,Qcur-9 (reshaped),RESHAPE,3993,16384,4096,2306,2691,11,109
prefill,0,Qcur-9,ROPE,6936,16384,4096,14445,14186,15,341
prefill,0,Vcur-9,MUL_MAT,36783,4096,1024,141509,275127,3084,4531
prefill,0,Vcur-9,RESHAPE,3768,4096,1024,1869,2691,0,110
prefill,0,Kcur-9,MUL_MAT,31835,4096,1024,121409,246206,1704,3344
prefill,0,Kcur-9 (reshaped),RESHAPE,3797,4096,1024,1910,2677,0,101
prefill,0,Kcur-9,ROPE,6151,4096,1024,11370,12253,1,243
prefill,0,Kcur-9 (view),VIEW,3757,4096,1024,1698,2629,0,44
prefill,0,cache_k_l9 (view),SET_ROWS,4177,134217728,67108864,3589,3434,44,126
prefill,0,Vcur-9 (view),VIEW,3738,4096,1024,1685,2671,0,22
prefill,0,cache_v_l9 (view),SET_ROWS,4228,134217728,67108864,3473,3568,43,144
prefill,0,Qcur-9 (view),VIEW,5236,16384,4096,1979,2735,12,29
prefill,0,Qcur-9 (view) (permuted),PERMUTE,3916,16384,4096,1589,2720,0,25
prefill,0,cache_k_l9 (view),VIEW,3889,262144,131072,1656,2691,0,20
prefill,0,cache_k_l9 (view) (permuted),PERMUTE,3875,262144,131072,1526,2676,6,20
prefill,0,cache_v_l9 (view),VIEW,3953,262144,131072,1736,2672,0,28
prefill,0,cache_v_l9 (view) (permuted),PERMUTE,3869,262144,131072,1603,2751,3,20
prefill,0,__fattn__-9,FLASH_ATTN_EXT,20664,16384,4096,68388,139037,83,1414
prefill,0,kqv_out-9,RESHAPE,3903,16384,4096,1660,2680,0,94
prefill,0,attn_out-9,MUL_MAT,94400,16384,4096,371074,864626,6825,19285
prefill,0,ffn_inp-9,ADD,6402,16384,4096,10154,9359,4,516
prefill,0,norm-9,RMS_NORM,8176,16384,4096,18429,22300,2,353
prefill,0,ffn_norm-9,MUL,11987,16384,4096,15573,9389,128,539
prefill,0,ffn_gate-9,MUL_MAT,366847,65536,16384,1482963,3341285,27421,74938
prefill,0,ffn_up-9,MUL_MAT,366766,65536,16384,1515428,3341352,27540,75135
prefill,0,ffn_swiglu-9,GLU,15757,65536,16384,50050,22130,132,1859
prefill,0,ffn_out-9,MUL_MAT,419788,16384,4096,1782182,3852780,47117,116975
prefill,0,l_out-9,ADD,7055,16384,4096,11987,9291,19,529
prefill,0,norm-10,RMS_NORM,8095,16384,4096,18488,22353,2,283
prefill,0,attn_norm-10,MUL,6508,16384,4096,11756,9229,118,348
prefill,0,Qcur-10,MUL_MAT,92582,16384,4096,350783,863922,6696,19142
prefill,0,Qcur-10 (reshaped),RESHAPE,4302,16384,4096,2676,2666,17,107
prefill,0,Qcur-10,ROPE,7197,16384,4096,13600,14137,17,347
prefill,0,Vcur-10,MUL_MAT,30429,4096,1024,105786,245572,1808,3396
prefill,0,Vcur-10,RESHAPE,4117,4096,1024,2098,2666,1,110
